id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2992450,Luxury 2 bedroom apartment,4621559,Kenneth,,THIRD WARD,42.65789,-73.7537,Entire home/apt,93,28,9,2022-08-17,0.07,1,188,0,
3820211,Funky Urban Gem: Prime Central Location - Parking!,19648678,Terra,,SIXTH WARD,42.65222,-73.76724,Entire home/apt,91,2,311,2025-08-04,2.29,5,354,6,
5651579,Large studio apt  by Capital Center & ESP@,29288920,Gregg,,SECOND WARD,42.64615,-73.75966,Entire home/apt,64,2,373,2025-09-15,2.94,2,12,5,
6623339,Cozy City Stay · Free Parking + Walkable Location,19648678,Terra,,SIXTH WARD,42.65222,-73.76724,Entire home/apt,95,2,332,2025-06-30,2.64,5,335,4,
9005989,"Studio in The heart of Center SQ, in Albany NY",17766924,Sugey,,SIXTH WARD,42.65559,-73.76506,Entire home/apt,89,1,623,2025-08-03,5.58,1,246,25,
9501054,Spacious suite with full bath by Capital  Center,29288920,Gregg,,SECOND WARD,42.64734,-73.75851,Private room,60,1,434,2025-10-03,3.68,2,242,38,
10768745,Alb hospital area studio bath wifi. (Red),5691268,Elizabeth,,FOURTEENTH WARD,42.66078,-73.80553,Private room,47,1,845,2025-09-27,7.18,2,157,132,
11253948,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,4259750,Peter,,FIFTEENTH WARD,42.67567,-73.82438,Entire home/apt,227,1,209,2025-09-03,1.83,8,346,45,
11639446,$55twin($30 foreign student)FreeBF Noa/c no smoke,61700428,Abdullah,,ELEVENTH WARD,42.67583,-73.78297,Private room,56,15,231,2024-02-29,2.03,2,364,0,
12799126,Private Room in the Hearth of the Albany,69729286,Musab,,SIXTH WARD,42.65154,-73.76867,Private room,47,5,29,2025-08-09,0.47,2,308,1,
